X1,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,79,,,,,,,,,,80.7,,,,,,,,
Alabama,55.4,,,,,,,,,,59,,,,,,,,
Alaska,65.6,,,,,,,,,,66,,,,,,,,
Arizona,88.2,,,,,,,,,,89.8,,,,,,,,
Arkansas,52.5,,,,,,,,,,56.2,,,,,,,,
California,94.4,,,,,,,,,,95,,,,,,,,
Colorado,84.5,,,,,,,,,,86.2,,,,,,,,
Connecticut,87.7,,,,,,,,,,88,,,,,,,,
Delaware,80.1,,,,,,,,,,83.3,,,,,,,,
Florida,89.3,,,,,,,,,,91.2,,,,,,,,
Georgia,71.6,,,,,,,,,,75.1,,,,,,,,
Hawaii,91.5,,,,,,,,,,91.9,,,,,,,,
Idaho,66.4,,,,,,,,,,70.6,,,,,,,,
Illinois,87.8,,,,,,,,,,88.5,,,,,,,,
Indiana,70.8,,,,,,,,,,72.4,,,,,,,,
Iowa,61.1,,,,,,,,,,64,,,,,,,,
Kansas,71.4,,,,,,,,,,74.2,,,,,,,,
Kentucky,55.8,,,,,,,,,,58.4,,,,,,,,
Louisiana,72.6,,,,,,,,,,73.2,,,,,,,,
Maine,40.2,,,,,,,,,,38.7,,,,,,,,
Maryland,86.1,,,,,,,,,,87.2,,,,,,,,
Massachusetts,91.4,,,,,,,,,,92,,,,,,,,
Michigan,74.7,,,,,,,,,,74.6,,,,,,,,
Minnesota,70.9,,,,,,,,,,73.3,,,,,,,,
Mississippi,48.8,,,,,,,,,,49.4,,,,,,,,
Missouri,69.4,,,,,,,,,,70.4,,,,,,,,
Montana,54.1,,,,,,,,,,55.9,,,,,,,,
Nebraska,69.8,,,,,,,,,,73.1,,,,,,,,
Nevada,91.5,,,,,,,,,,94.2,,,,,,,,
New Hampshire,59.3,,,,,,,,,,60.3,,,,,,,,
New Jersey,94.4,,,,,,,,,,94.7,,,,,,,,
New Mexico,75,,,,,,,,,,77.4,,,,,,,,
New York,87.5,,,,,,,,,,87.9,,,,,,,,
North Carolina,60.2,,,,,,,,,,66.1,,,,,,,,
North Dakota,55.9,,,,,,,,,,59.9,,,,,,,,
Ohio,77.4,,,,,,,,,,77.9,,,,,,,,
Oklahoma,65.3,,,,,,,,,,66.2,,,,,,,,
Oregon,78.7,,,,,,,,,,81,,,,,,,,
Pennsylvania,77.1,,,,,,,,,,78.7,,,,,,,,
Rhode Island,90.9,,,,,,,,,,90.7,,,,,,,,
South Carolina,60.5,,,,,,,,,,66.3,,,,,,,,
South Dakota,51.9,,,,,,,,,,56.7,,,,,,,,
Tennessee,63.6,,,,,,,,,,66.4,,,,,,,,
Texas,82.5,,,,,,,,,,84.7,,,,,,,,
Utah,88.2,,,,,,,,,,90.6,,,,,,,,
Vermont,38.2,,,,,,,,,,38.9,,,,,,,,
Virginia,73,,,,,,,,,,75.5,,,,,,,,
Washington,82,,,,,,,,,,84.1,,,,,,,,
West Virginia,46.1,,,,,,,,,,48.7,,,,,,,,
Wisconsin,68.3,,,,,,,,,,70.2,,,,,,,,
Wyoming,65.1,,,,,,,,,,64.8,,,,,,,,

