,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
LOCATION,Hispanic_total_2000,Hispanic_total_2001,Hispanic_total_2002,Hispanic_total_2003,Hispanic_total_2004,Hispanic_total_2005,Hispanic_total_2006,Hispanic_total_2007,Hispanic_total_2008,Hispanic_total_2009,Hispanic_total_2010,Hispanic_total_2011,Hispanic_total_2012,Hispanic_total_2013,Hispanic_total_2014,Hispanic_total_2015,Hispanic_total_2016,Hispanic_total_2017,Hispanic_total_2018,
US,0.125,0.131,0.135,0.139,0.142,0.145,0.148,0.15,0.154,0.157,0.164,0.167,0.169,0.171,0.173,0.176,0.178,0.181,0.183,
AL,0.016,0.016,0.02,0.019,0.02,0.022,0.024,0.026,0.028,0.032,0.038,0.039,0.038,0.039,0.039,0.04,0.041,0.041,0.043,
AK,0.041,0.042,0.04,0.044,0.048,0.044,0.055,0.057,0.055,0.061,0.057,0.058,0.06,0.066,0.067,0.07,0.069,0.07,0.072,
AZ,0.252,0.263,0.274,0.28,0.282,0.289,0.291,0.299,0.302,0.308,0.298,0.301,0.302,0.302,0.305,0.307,0.31,0.314,0.316,
AR,0.032,0.033,0.035,0.037,0.044,0.048,0.051,0.051,0.054,0.059,0.062,0.065,0.067,0.069,0.069,0.07,0.072,0.074,0.076,
CA,0.323,0.337,0.339,0.346,0.349,0.355,0.359,0.362,0.366,0.37,0.377,0.381,0.382,0.384,0.386,0.388,0.389,0.391,0.393,
CO,0.171,0.176,0.182,0.187,0.192,0.197,0.195,0.199,0.201,0.202,0.208,0.209,0.21,0.21,0.212,0.214,0.213,0.215,0.217,
CT,0.094,0.096,0.1,0.1,0.106,0.111,0.11,0.117,0.121,0.123,0.135,0.138,0.142,0.147,0.15,0.154,0.157,0.161,0.165,
DE,0.048,0.05,0.052,0.054,0.059,0.061,0.065,0.058,0.072,0.072,0.082,0.084,0.086,0.088,0.089,0.09,0.091,0.094,0.095,
FL,0.167,0.175,0.181,0.187,0.192,0.198,0.201,0.206,0.21,0.215,0.226,0.228,0.232,0.236,0.241,0.245,0.249,0.256,0.261, 
GA,0.053,0.054,0.06,0.063,0.067,0.071,0.074,0.077,0.081,0.083,0.088,0.09,0.091,0.091,0.091,0.093,0.093,0.096,0.097, 
HI,0.073,0.071,0.073,0.075,0.079,0.082,0.078,0.079,0.084,0.089,0.089,0.091,0.094,0.099,0.1,0.104,0.104,0.105,0.107, 
ID,0.077,0.082,0.085,0.083,0.089,0.096,0.099,0.099,0.105,0.107,0.113,0.115,0.115,0.118,0.121,0.121,0.123,0.125,0.127, 
IL,0.123,0.13,0.137,0.138,0.141,0.145,0.147,0.15,0.152,0.153,0.159,0.161,0.163,0.164,0.167,0.169,0.17,0.172,0.173, 
IN,0.035,0.036,0.039,0.04,0.044,0.045,0.048,0.048,0.051,0.054,0.06,0.061,0.063,0.064,0.065,0.066,0.068,0.069,0.071, 
IA,0.027,0.029,0.03,0.031,0.036,0.036,0.04,0.039,0.041,0.043,0.05,0.05,0.052,0.054,0.055,0.056,0.057,0.059,0.061, 
KS,0.069,0.066,0.07,0.068,0.061,0.082,0.089,0.089,0.096,0.093,0.105,0.107,0.109,0.111,0.113,0.116,0.116,0.119,0.12, 
KY,0.014,0.014,0.016,0.015,0.019,0.016,0.02,0.021,0.024,0.026,0.03,0.03,0.031,0.032,0.033,0.033,0.034,0.035,0.036, 
LA,0.025,0.024,0.024,0.025,0.027,0.029,0.028,0.031,0.035,0.036,0.043,0.043,0.045,0.047,0.048,0.049,0.049,0.052,0.051, 
ME,0.008,0.007,0.007,0.008,0.009,0.01,0.011,0.011,0.01,0.013,0.012,0.011,0.015,0.013,0.013,0.016,0.015,0.016,0.016, 
MD,0.044,0.045,0.048,0.048,0.054,0.057,0.061,0.062,0.066,0.072,0.082,0.084,0.087,0.09,0.093,0.095,0.097,0.101,0.104, 
MA,0.067,0.068,0.073,0.074,0.078,0.079,0.079,0.08,0.086,0.088,0.096,0.099,0.101,0.105,0.108,0.111,0.115,0.118,0.123, 
MI,0.033,0.033,0.034,0.035,0.036,0.038,0.04,0.039,0.041,0.042,0.044,0.045,0.046,0.047,0.048,0.049,0.05,0.05,0.051, 
MN,0.029,0.029,0.032,0.032,0.035,0.037,0.039,0.04,0.042,0.042,0.047,0.048,0.049,0.049,0.051,0.051,0.051,0.053,0.054, 
MS,0.013,0.013,0.011,0.014,0.015,0.017,0.017,0.018,0.019,0.022,0.025,0.027,0.026,0.027,0.027,0.029,0.029,0.029,0.029, 
MO,0.021,0.021,0.02,0.023,0.026,0.027,0.028,0.029,0.031,0.034,0.035,0.036,0.036,0.038,0.038,0.039,0.04,0.042,0.041, 
MT,0.021,0.018,0.02,0.022,0.021,0.024,0.02,0.025,0.032,0.029,0.029,0.03,0.03,0.032,0.033,0.036,0.035,0.038,0.039, 
NE,0.054,0.058,0.061,0.062,0.069,0.073,0.076,0.075,0.083,0.084,0.092,0.094,0.096,0.098,0.101,0.104,0.106,0.109,0.112, 
NV,0.197,0.205,0.214,0.221,0.229,0.235,0.242,0.251,0.259,0.265,0.266,0.271,0.273,0.275,0.278,0.281,0.285,0.289,0.29, 
NH,0.017,0.016,0.017,0.018,0.021,0.019,0.022,0.025,0.03,0.028,0.027,0.028,0.03,0.031,0.031,0.033,0.036,0.037,0.039, 
NJ,0.133,0.138,0.143,0.146,0.15,0.154,0.156,0.159,0.164,0.167,0.178,0.181,0.185,0.189,0.194,0.197,0.2,0.204,0.206, 
NM,0.418,0.428,0.432,0.433,0.436,0.439,0.447,0.443,0.451,0.456,0.465,0.467,0.47,0.473,0.477,0.481,0.485,0.487,0.491, 
NY,0.15,0.158,0.162,0.163,0.161,0.162,0.163,0.163,0.166,0.168,0.177,0.18,0.182,0.184,0.186,0.188,0.19,0.192,0.192, 
NC,0.047,0.047,0.054,0.056,0.061,0.065,0.067,0.07,0.074,0.076,0.084,0.086,0.087,0.088,0.09,0.091,0.092,0.094,0.096, 
ND,0.012,0.011,0.012,0.014,0.011,0.018,0.016,0.014,0.021,0.018,0.02,0.022,0.024,0.023,0.024,0.034,0.032,0.036,0.035, 
OH,0.019,0.02,0.02,0.02,0.022,0.023,0.023,0.025,0.026,0.028,0.031,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.039, 
OK,0.05,0.053,0.055,0.057,0.064,0.064,0.068,0.072,0.077,0.082,0.088,0.091,0.093,0.096,0.098,0.101,0.103,0.106,0.109, 
OR,0.08,0.084,0.088,0.09,0.096,0.101,0.102,0.104,0.11,0.112,0.118,0.12,0.121,0.123,0.125,0.127,0.128,0.13,0.133, 
PA,0.033,0.033,0.033,0.034,0.038,0.041,0.042,0.045,0.047,0.051,0.057,0.059,0.061,0.063,0.065,0.068,0.07,0.073,0.076, 
RI,0.086,0.09,0.094,0.097,0.105,0.11,0.112,0.116,0.115,0.119,0.125,0.128,0.132,0.136,0.14,0.144,0.15,0.154,0.16, 
SC,0.024,0.02,0.026,0.023,0.03,0.033,0.035,0.038,0.04,0.045,0.05,0.051,0.052,0.053,0.053,0.053,0.055,0.057,0.058, 
SD,0.013,0.016,0.014,0.014,0.017,0.016,0.017,0.029,0.028,0.024,0.026,0.028,0.028,0.032,0.034,0.035,0.037,0.036,0.039, 
TN,0.021,0.021,0.023,0.024,0.029,0.03,0.031,0.034,0.038,0.041,0.045,0.046,0.048,0.048,0.049,0.051,0.052,0.054,0.055, 
TX,0.319,0.33,0.339,0.355,0.348,0.354,0.356,0.359,0.362,0.369,0.377,0.381,0.382,0.384,0.386,0.388,0.391,0.394,0.396, 
UT,0.09,0.092,0.097,0.099,0.106,0.108,0.115,0.116,0.118,0.123,0.13,0.132,0.133,0.134,0.135,0.137,0.138,0.141,0.142, 
VT,0.009,0.009,0.008,0.007,0.009,0.007,0.011,0.01,0.011,0.014,0.015,0.013,0.017,0.015,0.016,0.017,0.02,0.02,0.019, 
VA,0.047,0.049,0.052,0.053,0.058,0.06,0.061,0.063,0.068,0.072,0.078,0.08,0.084,0.086,0.088,0.09,0.09,0.093,0.096, 
WA,0.075,0.077,0.081,0.081,0.086,0.089,0.092,0.095,0.098,0.103,0.113,0.116,0.117,0.119,0.122,0.124,0.124,0.127,0.129, 
WV,0.007,0.007,0.007,0.007,0.006,0.005,0.007,0.01,0.012,0.012,0.012,0.011,0.013,0.014,0.012,0.015,0.014,0.013,0.014, 
WI,0.036,0.037,0.039,0.04,0.044,0.043,0.047,0.048,0.051,0.053,0.059,0.06,0.062,0.063,0.064,0.066,0.067,0.068,0.069, 
WY,0.06,0.066,0.067,0.068,0.067,0.074,0.071,0.07,0.081,0.081,0.089,0.091,0.094,0.089,0.098,0.099,0.097,0.1,0.1, 
